Start Date,Start Time 30 Minute Period,pre_price_growth,forecast_error_change,net_demand_growth,actual_price_growth_DAM,actual_price_growth_IDA1,actual_price_growth_IDA2,actual_price_growth_IDA3,actual_price_growth_BM
11/07/2019,01:30:00,-0.1737888932650652,-0.036486838676048995,0.008064516129032258,0.0,0.0,,,-0.08857361963190194
11/07/2019,02:00:00,-0.02327455919395476,-0.019394261424017,0.019504480759093307,-0.014188422247446084,-0.013539128080151647,,,-0.011636927851047075
11/07/2019,02:30:00,-0.013272077590607351,0.005810882197569995,-0.015524625267665952,0.0,0.0,,,0.05290227773695804
11/07/2019,03:00:00,0.014488379112586687,0.010454783063251438,0.0037333333333333333,-0.0011363636363632078,0.0,,,0.2827404479578392
11/07/2019,03:30:00,0.09711119186046512,0.030164765525982257,0.042879019908116385,0.0,0.0,,,-0.39266055045871545
11/07/2019,04:00:00,-0.10766753874018907,0.020362552768810528,0.059077809798270896,0.026009961261759175,0.02610759493670911,,,0.4372160264353574
11/07/2019,04:30:00,0.188602220770738,0.0448292220113852,0.05191256830601093,0.0,0.0,,,-0.3593486805165641
11/07/2019,05:00:00,-0.11670313639679065,0.04636959963809093,0.03345070422535211,0.09875311720698274,0.08582449373191954,,,-0.1442338580147767
11/07/2019,05:30:00,0.026883151450625635,0.037867247007616976,0.033602722245852826,0.0,0.010496183206106647,,,-0.09151472650771386
11/07/2019,06:00:00,-0.01963090284060057,0.028951817413355875,0.09332819128422676,0.18694241686942414,0.12191034771679933,,,-0.051234795429413955
11/07/2019,06:30:00,0.10991223125855537,0.08542713567839195,0.07886323268206039,0.0,0.031249999999999563,,,0.011297376093294544
11/07/2019,07:00:00,0.014677880038082992,0.09068541300527241,0.11561420043983663,0.0744980296490895,0.06525037936267146,,,-0.039393939393939356
11/07/2019,07:30:00,0.04810814893134963,0.10252365930599369,0.08848797250859107,0.0,0.05974674514000297,,,0.0007570022710069312
11/07/2019,08:00:00,0.024819561054647103,0.0884255930984903,0.07789807235278584,0.19171848930684154,0.1048850574712651,,,0.009373828271466066
11/07/2019,08:30:00,0.12535429013141014,0.07093240716003206,0.042719919110212334,0.0,0.03630769230769175,,,0.09593220338983033
11/07/2019,09:00:00,0.03235055787570883,0.04320040899795501,0.02393288921786331,-0.030156250000000773,-0.015625,,,-0.21900826446280997
11/07/2019,09:30:00,-0.05407358738502026,0.01733232856066315,0.018406393799951563,0.0,-0.015873015873015872,,,0.009009009009009108
11/07/2019,10:00:00,-0.005151234975564474,0.0017552657973921766,0.006974506974506974,-0.10382890651948927,-0.14379084967320266,,,0.007317073170731552
11/07/2019,10:30:00,-0.09995641435420616,-0.011028013689948029,0.012586084065542626,0.0,0.015549597855228463,,,-0.02542726135889952
