Start Date,Start Time 30 Minute Period,pre_price_growth,net_demand_growth,actual_price_growth_DAM,actual_price_growth_IDA1,actual_price_growth_IDA2,actual_price_growth_IDA3,actual_price_growth_BM
01/01/2020,08:00:00,0.2725692575102673,-0.015418502202643172,0.03730366492146612,-0.008814032638100981,,,-0.7597094160379994
01/01/2020,08:30:00,-0.25282560727672193,-0.031818181818181815,0.0,0.0,,,-0.031709426347650664
01/01/2020,09:00:00,-0.01071258143996553,0.015659955257270694,0.14209881584320097,0.008737024221453215,,,-0.3012003000750187
01/01/2020,09:30:00,-0.021477458119454344,0.0407725321888412,0.0,0.08044757914832673,,,0.35038986354775825
01/01/2020,10:00:00,0.14765385202394476,0.04703476482617587,0.14211275314723598,0.08014634146341536,,,-0.6416
01/01/2020,10:30:00,-0.05608238191179717,0.018072289156626505,0.0,0.03552105386967768,,,0.3908382066276803
01/01/2020,11:00:00,0.13580963435867663,0.05142857142857143,0.1316539923954374,0.13636178944374447,1.0,,-0.2538955087076078
01/01/2020,11:30:00,0.062435382589484875,0.013157894736842105,0.0,0.0,0.034862745098039466,,-0.07311475409836056
01/01/2020,12:00:00,-0.002465606964794023,0.04144144144144144,-0.07346938775510163,-0.13039683997795276,-0.13585746102449875,,0.2913568773234201
01/01/2020,12:30:00,-0.015724385541100405,0.022887323943661973,0.0,-0.024251405452450147,0.002222222222222096,,-0.40791625776905477
01/01/2020,13:00:00,-0.08020564629555377,0.0,-0.01915597246199023,-0.012214285714285669,-0.023564734783005137,,-0.0022950819672130076
01/01/2020,13:30:00,-0.015436694359529423,-0.038391224862888484,0.0,-0.03244837758112131,0.011089367253752137,,-0.03989089669280619
01/01/2020,14:00:00,-0.012285752956086192,-0.02626641651031895,-0.007818723011780292,-0.03495649519157294,-0.1335288118306986,,0.006099627245001925
01/01/2020,14:30:00,-0.043687637246214536,-0.07243460764587525,0.0,-0.05406275140788508,-0.009523809523810007,,0.3355100202657058
01/01/2020,15:00:00,0.07437476226702142,-0.0734341252699784,-0.10404998842860368,0.018942383583267906,-0.02142763244380208,,-0.30234604105571833
01/01/2020,15:30:00,-0.09716670470476987,-0.04044943820224719,0.0,0.02048705063780409,-0.08671428571428541,,-0.3181291070738307
01/01/2020,16:00:00,-0.07327571123630891,-0.022988505747126436,0.199073215940686,-0.020915548539857606,-0.06060606060606061,,0.009571209800918835
01/01/2020,16:30:00,0.05424278527932253,0.03333333333333333,0.0,0.0,-0.2127894156560083,,0.11307300509337856
01/01/2020,17:00:00,-0.016552280985062624,0.03017241379310345,0.07126872095024879,0.20812500000000003,0.2645945945945943,1.0,0.053967234179248307
